study_hours_per_week,attendance_percent,previous_grade,absences,internet_access,extracurricular_activity,result
9,60.0,85.0,1,Yes,No,Pass
7,84.0,69.0,9,Yes,Yes,Fail
3,90.0,96.0,17,Yes,No,Fail
3,63.0,79.0,16,Yes,No,Fail
2,79.0,57.0,4,Yes,Yes,Fail
5,90.0,90.0,11,Yes,Yes,Pass
12,53.0,87.0,5,Yes,No,Fail
12,53.0,41.0,8,Yes,No,Fail
3,77.0,71.0,19,Yes,Yes,Fail
14,57.0,47.0,0,No,Yes,Pass
6,51.0,61.0,14,No,No,Fail
2,90.0,45.0,20,Yes,Yes,Fail
12,95.0,51.0,5,Yes,No,Pass
3,71.0,86.0,18,Yes,No,Fail
5,90.0,96.0,17,Yes,Yes,Fail
12,65.0,79.0,5,Yes,Yes,Pass
11,78.0,75.0,12,Yes,No,Fail
11,98.0,54.0,0,Yes,Yes,Pass
1,97.0,67.0,12,Yes,Yes,Fail
13,79.0,91.0,6,Yes,No,Pass
1,61.0,96.0,14,No,Yes,Fail
10,84.0,88.0,11,Yes,No,Fail
9,60.0,84.0,0,Yes,Yes,Pass
7,95.0,57.0,14,Yes,No,Fail
1,99.0,41.0,3,No,Yes,Fail
15,70.0,52.0,12,Yes,No,Pass
12,70.0,84.0,4,Yes,No,Pass
14,54.0,93.0,1,Yes,Yes,Pass
8,97.0,54.0,0,Yes,Yes,Fail
3,69.0,59.0,15,Yes,Yes,Fail
8,86.0,68.0,5,Yes,No,Pass
15,52.0,98.0,15,No,No,Fail
5,93.0,81.0,13,Yes,No,Fail
1,82.0,68.0,2,No,,Fail
7,58.0,42.0,14,Yes,No,Fail
5,58.0,58.0,2,Yes,Yes,Fail
6,53.0,42.0,1,No,No,Fail
6,84.0,93.0,0,Yes,No,Pass
8,66.0,53.0,8,Yes,Yes,Fail
9,83.0,79.0,8,Yes,Yes,Fail
2,73.0,98.0,6,Yes,No,Fail
9,81.0,94.0,2,Yes,No,Pass
12,50.0,43.0,17,Yes,Yes,Fail
15,57.0,98.0,10,Yes,Yes,Pass
11,94.0,99.0,6,Yes,No,Pass
10,72.0,91.0,8,Yes,Yes,Pass
9,96.0,50.0,0,Yes,Yes,Pass
13,89.0,97.0,13,Yes,Yes,Pass
10,61.0,70.0,19,No,Yes,Fail
15,61.0,82.0,5,Yes,No,Pass
10,95.0,71.0,6,Yes,No,Pass
7,96.0,66.0,9,Yes,No,Pass
1,64.0,69.0,6,No,Yes,Fail
7,90.0,82.0,1,Yes,No,Pass
10,68.0,41.0,3,Yes,No,Fail
5,75.0,88.0,20,Yes,Yes,Fail
6,78.0,48.0,16,Yes,No,Fail
10,71.0,67.0,0,Yes,Yes,Pass
7,89.0,70.0,9,Yes,No,Fail
14,70.0,99.0,18,Yes,Yes,Pass
15,100.0,73.0,14,No,No,Pass
5,87.0,100.0,9,Yes,Yes,Pass
7,69.0,95.0,18,Yes,No,Fail
9,78.0,54.0,11,Yes,Yes,Fail
3,100.0,87.0,15,No,No,Fail
8,53.0,64.0,8,Yes,No,Fail
2,56.0,75.0,14,Yes,No,Fail
11,77.0,47.0,16,Yes,No,Fail
7,77.0,48.0,13,Yes,No,Fail
13,53.0,97.0,17,Yes,Yes,Pass
2,71.0,97.0,1,Yes,No,Pass
15,61.0,76.0,3,Yes,No,Pass
14,94.0,87.0,17,Yes,No,Pass
4,52.0,84.0,6,Yes,No,Fail
7,71.0,78.0,12,Yes,Yes,Fail
3,93.0,71.0,14,Yes,Yes,Fail
2,51.0,97.0,0,Yes,No,Fail
11,73.0,91.0,10,Yes,No,Fail
10,83.0,56.0,9,Yes,Yes,Fail
7,76.0,74.0,4,Yes,No,Fail
1,90.0,76.0,15,Yes,No,Fail
14,50.0,58.0,10,Yes,Yes,Fail
15,57.0,83.0,20,Yes,No,Fail
8,72.0,68.0,5,Yes,No,Fail
3,87.0,98.0,8,,No,Fail
12,55.0,46.0,12,Yes,No,Fail
12,71.0,67.0,7,No,No,Fail
13,74.0,48.0,13,Yes,Yes,Fail
2,67.0,67.0,0,No,Yes,Fail
3,66.0,45.0,16,Yes,Yes,Fail
5,,68.0,4,No,Yes,Fail
11,55.0,97.0,1,Yes,Yes,Pass
8,75.0,56.0,8,Yes,Yes,Fail
10,76.0,55.0,3,Yes,Yes,Fail
7,57.0,62.0,16,Yes,Yes,Fail
7,68.0,70.0,16,No,No,Fail
12,91.0,42.0,20,Yes,Yes,Fail
7,50.0,60.0,17,Yes,No,Fail
15,78.0,65.0,15,Yes,No,Pass
8,94.0,75.0,7,Yes,Yes,Pass
1,98.0,81.0,10,Yes,No,Fail
4,84.0,76.0,20,Yes,No,Fail
13,89.0,92.0,20,Yes,Yes,Pass
6,63.0,61.0,17,Yes,Yes,Fail
9,84.0,81.0,9,No,Yes,Pass
13,97.0,51.0,12,Yes,Yes,Pass
2,94.0,81.0,16,Yes,Yes,Fail
1,69.0,100.0,17,Yes,No,Fail
13,98.0,52.0,9,Yes,No,Pass
10,62.0,50.0,15,Yes,No,Fail
12,87.0,93.0,19,Yes,Yes,Pass
14,98.0,55.0,4,Yes,Yes,Pass
2,95.0,47.0,12,No,Yes,Fail
7,98.0,79.0,17,Yes,Yes,Fail
3,57.0,98.0,16,Yes,Yes,Fail
10,92.0,96.0,8,No,No,Pass
2,69.0,79.0,13,Yes,Yes,Fail
14,82.0,84.0,16,Yes,No,Pass
11,75.0,98.0,3,Yes,Yes,Pass
7,88.0,41.0,17,Yes,No,Fail
13,70.0,69.0,19,Yes,No,Fail
13,98.0,69.0,14,Yes,No,Pass
2,91.0,51.0,10,Yes,Yes,Fail
3,92.0,49.0,11,No,No,Fail
11,90.0,83.0,8,Yes,No,Pass
7,58.0,50.0,12,No,No,Fail
14,73.0,54.0,14,No,No,Fail
4,86.0,55.0,14,Yes,No,Fail
13,98.0,56.0,4,Yes,Yes,Pass
14,90.0,65.0,18,Yes,No,Fail
1,66.0,41.0,19,Yes,No,Fail
13,73.0,89.0,13,Yes,Yes,Pass
14,70.0,51.0,16,No,Yes,Fail
5,100.0,90.0,17,Yes,Yes,Fail
12,88.0,65.0,20,Yes,No,Fail
9,90.0,62.0,2,Yes,Yes,Pass
8,88.0,57.0,1,Yes,Yes,Fail
12,62.0,71.0,0,Yes,Yes,Pass
15,60.0,88.0,9,Yes,No,Pass
3,94.0,51.0,3,Yes,Yes,Fail
5,54.0,97.0,2,Yes,Yes,Pass
10,78.0,77.0,6,Yes,No,Pass
1,60.0,63.0,17,Yes,No,Fail
14,52.0,93.0,10,No,Yes,Pass
